MARC	Percentage
001	100.00%
003	100.00%
005	100.00%
006	0.04%
007	7.72%
008	100.00%
010	0.15%
015	0.23%
016	0.03%
020	0.16%
022	0.16%
024	0.00%
025	0.00%
028	0.25%
030	0.01%
032	0.00%
033	0.00%
034	0.91%
035	0.60%
037	0.00%
038	0.01%
039	0.00%
040	99.98%
041	0.88%
042	1.21%
043	0.15%
044	0.00%
045	0.00%
046	0.00%
047	0.00%
048	0.00%
050	0.22%
051	0.00%
052	5.07%
055	0.00%
060	0.01%
066	0.08%
070	0.00%
072	0.00%
080	0.00%
082	1.89%
084	0.11%
086	0.00%
088	0.00%
100	75.57%
110	5.66%
111	0.03%
130	1.70%
210	0.07%
222	0.14%
240	10.23%
242	0.00%
243	0.00%
245	100.00%
246	0.61%
247	0.00%
250	6.52%
254	0.01%
255	2.04%
260	95.37%
263	0.00%
264	0.04%
300	86.43%
306	0.00%
310	0.16%
321	0.02%
336	0.08%
337	0.08%
338	0.08%
340	0.01%
351	0.00%
362	0.22%
490	5.12%
500	10.91%
501	0.02%
502	0.01%
504	0.10%
505	0.46%
506	0.00%
507	0.00%
508	0.02%
510	0.30%
511	0.00%
514	0.00%
515	0.06%
516	0.00%
518	0.00%
520	0.07%
521	0.00%
524	0.00%
525	0.01%
530	0.01%
533	0.27%
534	0.00%
535	0.00%
538	0.00%
540	0.29%
541	0.17%
545	0.00%
546	0.27%
547	0.00%
550	0.03%
555	0.05%
561	0.29%
562	0.06%
563	0.04%
580	6.84%
581	0.01%
583	0.00%
585	0.01%
588	0.02%
600	0.78%
610	0.38%
611	0.01%
630	0.14%
648	0.03%
650	2.60%
651	6.61%
653	0.38%
655	1.66%
700	20.10%
710	1.07%
711	0.01%
720	9.46%
730	0.55%
740	0.39%
752	1.06%
760	0.00%
762	0.00%
765	0.00%
767	0.00%
770	0.01%
772	0.00%
773	0.06%
774	0.00%
775	3.35%
776	0.02%
777	0.00%
780	0.30%
785	0.42%
787	6.51%
800	0.01%
810	0.07%
811	0.00%
830	0.12%
850	0.00%
852	99.87%
856	0.03%
880	0.47%
886	18.82%
916	0.00%
959	0.10%
