System Number	$b	$j
016285834	HMNTS	lsidyv52d47bfe
016286065	HMNTS	lsidyv5315abc5
016286087	HMNTS	lsidyv53153bf0
016286106	HMNTS	lsidyv5314b3aa
016286235	HMNTS	lsidyv5313d9d4
016286397	HMNTS	lsidyv531162ea
016286462	HMNTS	lsidyv530f712b
016286463	HMNTS	lsidyv530f732c
016286569	HMNTS	lsidyv52f87f03
016286570	HMNTS	lsidyv52f87fcc
016286571	HMNTS	lsidyv52f88059
016286572	HMNTS	lsidyv52f88092
016286573	HMNTS	lsidyv52f88173
016286574	HMNTS	lsidyv52f88254
016286575	HMNTS	lsidyv52f88365
016286621	HMNTS	lsidyv52f69520
016286940	HMNTS	lsidyv52dfcd98
016287076	HMNTS	lsidyv52dcd03a
016287120	HMNTS	lsidyv52dbad3a
016287140	HMNTS	lsidyv52dbde44
016287162	HMNTS	lsidyv52db4bbb
016287170	HMNTS	lsidyv52db71d3
016287192	HMNTS	lsidyv52dae035
016287266	HMNTS	lsidyv52da1750
016287319	HMNTS	lsidyv52d87b12
016287330	HMNTS	lsidyv52d7e576
016287382	HMNTS	lsidyv52d6b794
016287399	HMNTS	lsidyv52d6deba
016287532	HMNTS	lsidyv52d50201
016287554	HMNTS	lsidyv52d53afd
016287865	HMNTS	lsidyv52d10d51
016287872	HMNTS	lsidyv52d03b9d
016287882	HMNTS	lsidyv52d05d24
016287935	HMNTS	lsidyv52cf48f1
016287971	HMNTS	lsidyv3c423eec
016288011	HMNTS	lsidyv52ce332e
016288318	HMNTS	lsidyv52acb89c
016288341	HMNTS	lsidyv52ac0516
016288342	HMNTS	lsidyv52ac009f
016288624	HMNTS	lsidyv52a74109
016289014	HMNTS	lsidyv52d09aff
016265076	DSC	561604
016265077	DSC	561605
016265078	DSC	561606
015743134	HMNTS	lsidyv382037fe
015743135	HMNTS	lsidyv351358cf
015743136	HMNTS	lsidyv39530d51
015743137	HMNTS	lsidyv381f1301
015743138	HMNTS	lsidyv3e6dbe1f
015743139	HMNTS	lsidyv3d779586
015743140	HMNTS	lsidyv389db229
015743142	HMNTS	lsidyv3bb9c8a4
015743143	HMNTS	lsidyv3bb9b2d9
015743151	HMNTS	lsidyv349212f1
015743152	HMNTS	lsidyv3bb9ce26
015743153	HMNTS	lsidyv2eacc27f
015743154	HMNTS	lsidyv381d8e53
015743155	HMNTS	lsidyv381c8177
015743156	HMNTS	lsidyv3e699828
015743157	HMNTS	lsidyv3c67591e
015743158	HMNTS	lsidyv2ead18d8
015742423	HMNTS	lsidyv2eaf8789
015742537	HMNTS	lsidyv30b45d78
015742538	HMNTS	lsidyv355d7e87
015742539	HMNTS	lsidyv38aee2fe
015742540	HMNTS	lsidyv35c61f05
015742543	HMNTS	lsidyv37539b3a
015742544	HMNTS	lsidyv389d9850
015742545	HMNTS	lsidyv3833d5ff
015742546	HMNTS	lsidyv3505153c
015742547	HMNTS	lsidyv3e708bc1
015742548	HMNTS	lsidyv350bff77
015742549	HMNTS	lsidyv35cb500e
015742550	HMNTS	lsidyv350a443a
015742551	HMNTS	lsidyv3820c235
015742552	HMNTS	lsidyv38b4aaf6
015742553	HMNTS	lsidyv35b840ff
015742554	HMNTS	lsidyv35084f2d
015742555	HMNTS	lsidyv381b73d9
015742556	HMNTS	lsidyv35599f09
015742557	HMNTS	lsidyv35089741
015742558	HMNTS	lsidyv355eb40a
015742559	HMNTS	lsidyv37538951
015742560	HMNTS	lsidyv384aab97
015742561	HMNTS	lsidyv384c285a
015742562	HMNTS	lsidyv350b4025
015742563	HMNTS	lsidyv3556d8fc
015742564	HMNTS	lsidyv375308bb
015742565	HMNTS	lsidyv38a384c8
015742566	HMNTS	lsidyv35ba5844
015742568	HMNTS	lsidyv373a8819
015742569	HMNTS	lsidyv35ca62e2
015742570	HMNTS	lsidyv381f3e3e
015742571	HMNTS	lsidyv350f56e6
015742572	HMNTS	lsidyv38ad217f
015742573	HMNTS	lsidyv381b8a25
015742574	HMNTS	lsidyv381bee6f
015742575	HMNTS	lsidyv355de3c3
015742576	HMNTS	lsidyv35ba4305
015742577	HMNTS	lsidyv355c6c94
015742578	HMNTS	lsidyv35caa2ed
015742579	HMNTS	lsidyv385bdf1a
015742580	HMNTS	lsidyv35ba390c
015742581	HMNTS	lsidyv35b9ede7
015742582	HMNTS	lsidyv35604314
015742583	HMNTS	lsidyv35ca3bf3
015742584	HMNTS	lsidyv384dce28
015742585	HMNTS	lsidyv362617c3
015742586	HMNTS	lsidyv3e5466c8
015742587	HMNTS	lsidyv3865a41c
015742588	HMNTS	lsidyv3557e731
015742589	HMNTS	lsidyv3865beae
015742590	HMNTS	lsidyv384ea26c
015742591	HMNTS	lsidyv355e6988
015742592	HMNTS	lsidyv355af9f7
015742593	HMNTS	lsidyv35c97506
015742594	HMNTS	lsidyv38a2589d
015742595	HMNTS	lsidyv35b97639
015742597	HMNTS	lsidyv389da201
015742598	HMNTS	lsidyv38b4a469
015742599	HMNTS	lsidyv38b4cc9c
015742600	HMNTS	lsidyv38936650
015742601	HMNTS	lsidyv355d64d2
015742602	HMNTS	lsidyv3820cdc6
015742603	HMNTS	lsidyv355c3e5b
015742604	HMNTS	lsidyv350fe483
015742605	HMNTS	lsidyv381aff6c
015742606	HMNTS	lsidyv37e5c1fd
015742607	HMNTS	lsidyv35094fb9
015742608	HMNTS	lsidyv32c5fbb1
015742609	HMNTS	lsidyv37ed9515
015742610	HMNTS	lsidyv3bb9e023
015742611	HMNTS	lsidyv2f0bd333
015742612	HMNTS	lsidyv385a7ae5
015742613	HMNTS	lsidyv381be06c
015742614	HMNTS	lsidyv35603d80
015742615	HMNTS	lsidyv350d9f19
015742616	HMNTS	lsidyv355d4b7c
015742617	HMNTS	lsidyv355f7ae5
015742618	HMNTS	lsidyv3bb92911
015742619	HMNTS	lsidyv351331ba
015742620	HMNTS	lsidyv3bb8bff5
015742621	HMNTS	lsidyv355b2ae3
015742622	HMNTS	lsidyv354dcd86
015742623	HMNTS	lsidyv37e4d24a
015742624	HMNTS	lsidyv352e1bd3
015742625	HMNTS	lsidyv3d86a1f1
015742626	HMNTS	lsidyv3894e582
015742627	HMNTS	lsidyv355d7602
015742628	HMNTS	lsidyv35602326
015742629	HMNTS	lsidyv35ca44f5
015742630	HMNTS	lsidyv3859f25b
015742631	HMNTS	lsidyv37eddb9e
015742632	HMNTS	lsidyv35135d88
015742633	HMNTS	lsidyv385cfef4
015742634	HMNTS	lsidyv3e2d3977
015742635	HMNTS	lsidyv381eb42a
015742636	HMNTS	lsidyv3820d85b
015742637	HMNTS	lsidyv3820e69a
015742638	HMNTS	lsidyv355b1421
015742639	HMNTS	lsidyv3d81122e
015742640	HMNTS	lsidyv3d993d15
015742641	HMNTS	lsidyv35c96c63
015742642	HMNTS	lsidyv385e20c1
015742643	HMNTS	lsidyv38adde70
015742644	HMNTS	lsidyv385b843b
015742645	HMNTS	lsidyv38b5b4ed
015742646	HMNTS	lsidyv3865a05f
015742647	HMNTS	lsidyv35ba187b
015742648	HMNTS	lsidyv3bb9c7ab
015742649	HMNTS	lsidyv3d996df3
015742650	HMNTS	lsidyv3865a74a
015742651	HMNTS	lsidyv38ac9748
015742652	HMNTS	lsidyv355f0d43
015742653	HMNTS	lsidyv36266970
015742655	HMNTS	lsidyv3820f4ef
015742656	HMNTS	lsidyv381ca355
015742657	HMNTS	lsidyv355cdec8
015742659	HMNTS	lsidyv355cdc07
015742660	HMNTS	lsidyv35ba9298
015742661	HMNTS	lsidyv355c00dc
015742662	HMNTS	lsidyv355ead08
